0,1,2,3,4,5,6
ZQuestClassic,accelbyte-unreal-sdk-plugin,-47.0,nan,nan,nan,False
ZQuestClassic,acts,-47.0,nan,nan,nan,False
ZQuestClassic,adafruit_learning_system_guides,-44.0,nan,nan,nan,False
ZQuestClassic,advancedfx,-38.0,nan,nan,nan,False
ZQuestClassic,advancedfx-prop,-47.0,nan,nan,nan,False
ZQuestClassic,aerospike-server,-47.0,nan,nan,nan,False
ZQuestClassic,ags,-47.0,nan,nan,nan,False
ZQuestClassic,alienfx-tools,-47.0,nan,nan,nan,False
ZQuestClassic,aliphysics,-47.0,nan,nan,nan,False
ZQuestClassic,aliyun-openapi-cpp-sdk,-47.0,nan,nan,nan,False
ZQuestClassic,allegro5,-44.0,nan,nan,nan,False
ZQuestClassic,altv-js-module,-39.0,nan,nan,nan,False
ZQuestClassic,androidktx,-46.0,nan,nan,nan,False
ZQuestClassic,angband,-38.0,nan,nan,nan,False
ZQuestClassic,appscope,-11.0,nan,nan,nan,False
ZQuestClassic,arduinojson,-42.0,nan,nan,nan,False
ZQuestClassic,ardwiino,-44.0,nan,nan,nan,False
ZQuestClassic,arena-tracker,-47.0,nan,nan,nan,False
ZQuestClassic,ark-4,-33.0,nan,nan,nan,False
ZQuestClassic,asset-tracker-cloud-firmware-aws,23.0,nan,nan,nan,False
ZQuestClassic,aws-c-common,-33.0,nan,nan,nan,False
ZQuestClassic,aws-c-http,-39.0,nan,nan,nan,False
ZQuestClassic,aws-c-io,-36.0,nan,nan,nan,False
ZQuestClassic,aws-crt-cpp,-47.0,nan,nan,nan,False
ZQuestClassic,aws-iot-device-sdk-cpp-v2,-47.0,nan,nan,nan,False
ZQuestClassic,azure-sdk-for-cpp,-47.0,nan,nan,nan,False
ZQuestClassic,azure-sphere-samples,-47.0,nan,nan,nan,False
ZQuestClassic,babylonreactnative,8.0,nan,nan,nan,False
ZQuestClassic,barebox,-46.0,nan,nan,nan,False
ZQuestClassic,bedrock,-47.0,nan,nan,nan,False
ZQuestClassic,betaflight,-41.0,nan,nan,nan,False
ZQuestClassic,bitcoin-abc,-47.0,nan,nan,nan,False
ZQuestClassic,bpi-router-linux,47.0,nan,nan,nan,False
ZQuestClassic,browedit3,-45.0,nan,nan,nan,False
ZQuestClassic,brunch-unstable,-45.0,nan,nan,nan,False
ZQuestClassic,buildroot,-47.0,nan,nan,nan,False
ZQuestClassic,butano,-47.0,nan,nan,nan,False
ZQuestClassic,c15,-47.0,nan,nan,nan,False
ZQuestClassic,calamares,-47.0,nan,nan,nan,False
ZQuestClassic,cataclysm-bn,-47.0,nan,nan,nan,False
ZQuestClassic,cataclysm-dda,-47.0,nan,nan,nan,False
ZQuestClassic,cbmc,-19.0,nan,nan,nan,False
ZQuestClassic,cbsd,-15.0,nan,nan,nan,False
ZQuestClassic,ccapi,-47.0,nan,nan,nan,False
ZQuestClassic,ccf,-47.0,nan,nan,nan,False
ZQuestClassic,cctools,-39.0,nan,nan,nan,False
ZQuestClassic,cdecl,-47.0,nan,nan,nan,False
ZQuestClassic,chaos-controller,3.0,nan,nan,nan,False
ZQuestClassic,chromium-gost,-47.0,nan,nan,nan,False
ZQuestClassic,citra-canary,22.0,nan,nan,nan,False
ZQuestClassic,citra-nightly,-47.0,nan,nan,nan,False
ZQuestClassic,classic-rbdoom-3-bfg,-44.0,nan,nan,nan,False
ZQuestClassic,clementine,-47.0,nan,nan,nan,False
ZQuestClassic,clickhouse,-47.0,nan,nan,nan,False
ZQuestClassic,clink,-45.0,nan,nan,nan,False
ZQuestClassic,clk,-43.0,nan,nan,nan,False
ZQuestClassic,cmssw,-47.0,nan,nan,nan,False
ZQuestClassic,cocos-engine-external,-47.0,nan,nan,nan,False
ZQuestClassic,compute-runtime,-47.0,nan,nan,nan,False
ZQuestClassic,core,-21.0,nan,nan,nan,False
ZQuestClassic,corona,-42.0,nan,nan,nan,False
ZQuestClassic,cortex,-47.0,nan,nan,nan,False
ZQuestClassic,cpp-httplib,-47.0,nan,nan,nan,False
ZQuestClassic,cppwinrt,-33.0,nan,nan,nan,False
ZQuestClassic,cpuminer-opt,-47.0,nan,nan,nan,False
ZQuestClassic,cse,-40.0,nan,nan,nan,False
ZQuestClassic,ctranslate2,-47.0,nan,nan,nan,False
ZQuestClassic,cups,-36.0,nan,nan,nan,False
ZQuestClassic,cxbx-reloaded,-47.0,nan,nan,nan,False
ZQuestClassic,cyberenginetweaks,-45.0,nan,nan,nan,False
ZQuestClassic,cyrus-imapd,-41.0,nan,nan,nan,False
ZQuestClassic,daw_json_link,-35.0,nan,nan,nan,False
ZQuestClassic,ddobuilder,-47.0,nan,nan,nan,False
ZQuestClassic,deconz-rest-plugin,-42.0,nan,nan,nan,False
ZQuestClassic,defold,-34.0,nan,nan,nan,False
ZQuestClassic,device-os,-27.0,nan,nan,nan,False
ZQuestClassic,dfhack,-47.0,nan,nan,nan,False
ZQuestClassic,dmf,-47.0,nan,nan,nan,False
ZQuestClassic,dna,-47.0,nan,nan,nan,False
ZQuestClassic,dnslibs,-47.0,nan,nan,nan,False
ZQuestClassic,doomretro,-44.0,nan,nan,nan,False
ZQuestClassic,dosbox-x,-35.0,nan,nan,nan,False
ZQuestClassic,dynamorio,-40.0,nan,nan,nan,False
ZQuestClassic,elasticsearch-sql-odbc,-40.0,nan,nan,nan,False
ZQuestClassic,energyplus,-47.0,nan,nan,nan,False
ZQuestClassic,envoy,-47.0,nan,nan,nan,False
ZQuestClassic,envoy-gloo,-46.0,nan,nan,nan,False
ZQuestClassic,esp-homekit-devices,-42.0,nan,nan,nan,False
ZQuestClassic,esp-idf,27.0,nan,nan,nan,False
ZQuestClassic,esp-mail-client,-46.0,nan,nan,nan,False
ZQuestClassic,esp8266_milight_hub,-36.0,nan,nan,nan,False
ZQuestClassic,espeasy,-47.0,nan,nan,nan,False
ZQuestClassic,esphome,-47.0,nan,nan,nan,False
ZQuestClassic,espresense,-21.0,nan,nan,nan,False
ZQuestClassic,etl,-47.0,nan,nan,nan,False
ZQuestClassic,explorerpatcher,-43.0,nan,nan,nan,False
ZQuestClassic,exult,-47.0,nan,nan,nan,False
ZQuestClassic,faangband,-41.0,nan,nan,nan,False
ZQuestClassic,farmanager,-47.0,nan,nan,nan,False
ZQuestClassic,fatal,-46.0,nan,nan,nan,False
ZQuestClassic,filament,-47.0,nan,nan,nan,False
ZQuestClassic,file-commander,-45.0,nan,nan,nan,False
ZQuestClassic,firebase-esp-client,-46.0,nan,nan,nan,False
ZQuestClassic,firebase-esp32,-46.0,nan,nan,nan,False
ZQuestClassic,firebase-esp8266,-46.0,nan,nan,nan,False
ZQuestClassic,firmware,-29.0,nan,nan,nan,False
ZQuestClassic,firmware-update,-46.0,nan,nan,nan,False
ZQuestClassic,fizz,-47.0,nan,nan,nan,False
ZQuestClassic,flatpak,-35.0,nan,nan,nan,False
ZQuestClassic,fluent-bit,-7.0,nan,nan,nan,False
ZQuestClassic,folly,-47.0,nan,nan,nan,False
ZQuestClassic,foundationdb,-47.0,nan,nan,nan,False
ZQuestClassic,freebsd-electron,-47.0,nan,nan,nan,False
ZQuestClassic,ftl,-35.0,nan,nan,nan,False
ZQuestClassic,genozip,-47.0,nan,nan,nan,False
ZQuestClassic,gideros,-47.0,nan,nan,nan,False
ZQuestClassic,goldendict-ng,5.0,nan,nan,nan,False
ZQuestClassic,gporca,-47.0,nan,nan,nan,False
ZQuestClassic,grpc,-47.0,nan,nan,nan,False
ZQuestClassic,gsequencer,-47.0,nan,nan,nan,False
ZQuestClassic,harfbuzz,-47.0,nan,nan,nan,False
ZQuestClassic,hentoid,-47.0,nan,nan,nan,False
ZQuestClassic,hi-nginx,-34.0,nan,nan,nan,False
ZQuestClassic,host-sflow,-47.0,nan,nan,nan,False
ZQuestClassic,hpcc-platform,-47.0,nan,nan,nan,False
ZQuestClassic,icinga2,-47.0,nan,nan,nan,False
ZQuestClassic,icu,-47.0,nan,nan,nan,False
ZQuestClassic,ifcopenshell,-47.0,nan,nan,nan,False
ZQuestClassic,imagemagick,-34.0,nan,nan,nan,False
ZQuestClassic,ing918xx_sdk_source,-44.0,nan,nan,nan,False
ZQuestClassic,intel-graphics-compiler,-47.0,nan,nan,nan,False
ZQuestClassic,iree,38.0,nan,nan,nan,False
ZQuestClassic,itk-wasm,-47.0,nan,nan,nan,False
